pid,face_id,version,question,response,export_timestamp,data_source
test_001,face_01,left,trust,1,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,left,emotion,3,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,right,trust,9,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,right,emotion,1,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,masc_choice,both,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,fem_choice,right,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,trust,7,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,emotion,8,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,masculinity_full,2,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_01,both,femininity_full,1,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,left,trust,1,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,left,emotion,6,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,right,trust,8,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,right,emotion,6,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,masc_choice,left,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,fem_choice,both,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,trust,6,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,emotion,2,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,masculinity_full,8,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_02,both,femininity_full,5,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_03,left,trust,9,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_03,left,emotion,6,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_03,right,trust,2,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
test_001,face_03,right,emotion,4,2025-09-14T09:32:46.778081,Face Perception Study Dashboard - Long Format
